dgp,seed,ntrain,temperature,n_test,n_chains,n_posterior,gr_posterior_mean,gr_q5,gr_q25,gr_q50,gr_q75,gr_q95,rmse_credible,coverage_credible
1199_BNG_echoMonths,1,10000,3.0,1750,8,1000,1.020336389541626,1.0265021324157715,1.0088952779769897,1.0140584707260132,1.024086356163025,1.0220448970794678,11.503325078293626,0.6548571428571428
1199_BNG_echoMonths,1,10000,2.0,1750,8,1000,1.0126681327819824,1.0176811218261719,1.0209814310073853,1.0182703733444214,1.0329163074493408,1.0399894714355469,11.26223043846274,0.42792857142857144
1199_BNG_echoMonths,1,10000,1.0,1750,8,1000,1.0271555185317993,1.0562083721160889,1.02555513381958,1.0452935695648193,1.0365151166915894,1.008778691291809,11.274593987100559,0.2975714285714286
1199_BNG_echoMonths,6,10000,2.0,1750,8,1000,1.0182783603668213,1.0053216218948364,1.0205490589141846,1.019377589225769,1.0345349311828613,1.0137269496917725,11.704602842537199,0.417
1199_BNG_echoMonths,6,10000,3.0,1750,8,1000,1.0068720579147339,1.0124404430389404,1.0024040937423706,1.0022269487380981,1.0084725618362427,1.016603946685791,11.849155925584899,0.6355000000000001
1199_BNG_echoMonths,6,10000,1.0,1750,8,1000,1.0576372146606445,1.0167323350906372,1.1037178039550781,1.0787259340286255,1.0138179063796997,1.0438178777694702,11.736978902883592,0.2834285714285715
1199_BNG_echoMonths,6,200,3.0,1750,8,1000,0.999963641166687,1.0009523630142212,1.0012226104736328,0.9999936819076538,1.0000638961791992,1.0012449026107788,12.848449351829995,0.8312142857142857
1199_BNG_echoMonths,6,200,2.0,1750,8,1000,0.999616265296936,0.999903678894043,0.9996479749679565,0.9999056458473206,0.9997141361236572,1.0001659393310547,12.514410558845267,0.69
1199_BNG_echoMonths,6,200,1.0,1750,8,1000,0.999584436416626,0.9998149871826172,0.9996455311775208,0.9996134638786316,0.9997001886367798,0.9996668100357056,12.471599926353656,0.5770714285714286
1199_BNG_echoMonths,6,1000,2.0,1750,8,1000,1.0003880262374878,1.000407099723816,1.0003184080123901,1.0004891157150269,1.0007598400115967,1.003127932548523,12.106323341475939,0.5972142857142857
